Provincia,Accesos por cada 100 hogares,Total de viviendas particulares,Total de población,Viviendas con internet,Viviendas sin internet,% viviendas sin internet
Buenos Aires,0.7725666666666666,6695273.0,17569053.0,5172544.744033333,1522728.255966667,0.2274333333333334
Capital Federal,1.1846333333333332,1638764.0,3120612.0,1941334.4598666665,-302570.45986666647,-0.1846333333333332
Catamarca,0.6198,158989.0,429556.0,98541.38220000001,60447.61779999999,0.3801999999999999
Chaco,0.4390333333333334,401658.0,1142963.0,176341.25060000003,225316.74939999997,0.5609666666666666
Chubut,0.8520666666666666,236010.0,603120.0,201096.254,34913.746000000014,0.1479333333333334
Corrientes,0.48066666666666663,406480.0,1197553.0,195381.38666666666,211098.61333333334,0.5193333333333333
Córdoba,0.8718333333333333,1630356.0,3978984.0,1421398.706,208957.294,0.12816666666666665
Entre Ríos,0.6375666666666667,559398.0,1426426.0,356653.51820000005,202744.48179999995,0.3624333333333332
Formosa,0.4071333333333333,212941.0,606041.0,86695.37913333332,126245.62086666668,0.5928666666666668
Jujuy,0.5809666666666666,276222.0,797955.0,160475.7746,115746.2254,0.4190333333333333
La Pampa,0.9374333333333333,163805.0,366022.0,153556.26716666666,10248.732833333343,0.06256666666666673
La Rioja,0.7985666666666666,149910.0,384607.0,119713.129,30196.871,0.20143333333333333
Mendoza,0.4972,708354.0,2014533.0,352193.6088,356160.3912,0.5028
Misiones,0.5062000000000001,466850.0,1280960.0,236319.47000000003,230530.52999999997,0.49379999999999996
Neuquén,0.7818666666666667,273685.0,726590.0,213985.17866666667,59699.821333333326,0.21813333333333332
Río Negro,0.6762333333333334,295502.0,762067.0,199828.30246666668,95673.69753333332,0.32376666666666665
Salta,0.5713666666666666,478433.0,1440672.0,273360.6684333333,205072.33156666672,0.4286333333333334
San Juan,0.47936666666666666,265047.0,818234.0,127054.6969,137992.30310000002,0.5206333333333334
San Luis,0.8140666666666667,201271.0,540905.0,163848.01206666668,37422.98793333332,0.18593333333333328
Santa Cruz,0.4322666666666667,131395.0,333473.0,56797.67866666667,74597.32133333333,0.5677333333333333
Santa Fe,0.7791666666666667,1458652.0,3556522.0,1136533.0166666666,322118.9833333334,0.22083333333333338
Santiago Del Estero,0.4761666666666667,348705.0,1054028.0,166041.6975,182663.3025,0.5238333333333333
Tierra Del Fuego,0.9922000000000001,67091.0,190641.0,66567.69020000001,523.3097999999882,0.007799999999999824
Tucumán,0.5928,555419.0,1703186.0,329252.3832,226166.61680000002,0.4072
